Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
right_palm_link,0.0619400889798107,0.000633777554448545,-0.00922401737694556,0,0,0,0.114799444276486,0.000115656477451761,3.24423761159877E-06,4.40448289255065E-06,0.000144675400179227,-1.26436937122323E-06,0.000233485399410628,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_palm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_palm_link.STL,,R_palm-5,R_palm_cs_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_index_link_0,-0.000308197926172649,8.39026403909315E-10,-8.96268664007938E-07,0,0,0,0.000177081875037463,3.4763707795701E-09,1.07698689339673E-16,-4.6319757296773E-13,6.72350326843279E-10,-4.88407181627268E-17,3.89708717262623E-09,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_0.STL,1,1,1,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_0.STL,,P01H9-MP0-15-F3000_2-3,R_index_cs_0,R_index_ax_0,right_index_joint_0,revolute,0.13528,-0.0315,0.0017501,3.1416,0,3.1416,right_palm_link,0,0,1,0,0,-0.35,0.35,,,,,,,,
right_index_link_1,0.019458668769933,-0.0089652904132522,-0.000103629286555107,0,0,0,0.00781862122127028,7.54005717682309E-07,-1.78804290522348E-07,-3.16795998523565E-08,1.81037946922475E-06,-3.54790575910829E-09,1.58839732926949E-06,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_1.STL,,10002_ASM_I-1,R_index_cs_1,R_index_ax_1,right_index_joint_1,revolute,0,0,0,-1.5708,0,3.1416,right_index_link_0,0,0,1,0,0,0,1.57,,,,,,,,
right_index_link_2,0.0137651413880091,-0.00728319097323554,-0.000338376807412472,0,0,0,0.00444702440302546,3.57402969229919E-07,-2.93570876643459E-08,-7.17605723324856E-09,5.90573396738625E-07,-1.80789872592111E-09,4.33465005909825E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_2.STL,,20002_ASM_index-1,R_index_cs_2,R_index_ax_2,right_index_joint_2,revolute,0.039999,1.0069E-05,0,0,0,0,right_index_link_1,0,0,1,0,0,0,1.57,,,,,,,,
right_index_link_3,0.00645566880354587,-0.0108151464713902,3.11426869692433E-06,0,0,0,0.00370163834726037,1.63153786893549E-07,6.2613785984167E-08,-2.8930751066186E-10,3.8481939975164E-07,8.54539635528873E-10,3.08433547663749E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_link_3.STL,,32407090001_ASM_index-1,R_index_cs_3,R_index_ax_3,right_index_joint_3,revolute,0.030001,-1.0072E-05,0,0,0,0,right_index_link_2,0,0,1,0,0,0,1.57,,,,,,,,
right_index_tactile_link_2,0.000109844961296346,0.0099416982219066,0.00443460180255373,0,0,0,0.00413497205037458,2.22394583675105E-07,9.01967562427741E-10,8.94924483975294E-10,2.23755941796333E-07,2.47116794584231E-08,3.54572754525545E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_2.STL,1,1,1,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_2.STL,,pxsr-stddp02b-2,R_index_sensor_cs_3,R_index_ax_3,right_index_tactile_joint_2,fixed,0.0029533,-0.0067786,0,1.3775,-1.5708,3.1413,right_index_link_3,0,0,0,,,,,,,,,,,,
right_index_tactile_link_1,3.0446001686224E-05,0.0109528249877928,0.000700664923569766,0,0,0,0.00146306414297665,5.85353582900128E-08,2.96653312598885E-11,-5.95294227147362E-13,6.03565233436984E-08,-1.48257364967186E-11,1.15994427577965E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_1.STL,1,1,1,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_1.STL,,PXSR-STDIP02B-2,R_index_sensor_cs_2,R_index_ax_2,right_index_tactile_joint_1,fixed,0.0041708,0.0024988,0,1.5708,-1.5708,3.1413,right_index_link_2,0,0,0,,,,,,,,,,,,
right_index_tactile_link_0,-5.64660317428634E-06,0.014075020640723,0.00086164148054127,0,0,0,0.00202349083525809,1.39860030184411E-07,1.33827478855186E-11,-1.25794008028026E-12,9.15846254269304E-08,-2.40330494074063E-10,2.2769300433268E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_0.STL,1,1,1,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_index_tactile_link_0.STL,,pxsr-stdcp02b-2,R_index_sensor_cs_1,R_index_ax_1,right_index_tactile_joint_0,fixed,0.00726310654650064,0.00249999999992634,0,-1.06831157850435,-1.57079631189374,-0.502484829452999,right_index_link_1,0,0,0,,,,,,,,,,,,
right_middle_link_0,-0.000308197926172538,8.39026403909315E-10,-8.96268663952426E-07,0,0,0,0.000177081875037461,3.47637077957008E-09,1.07698687177505E-16,-4.63197572968217E-13,6.72350326843274E-10,-4.88407181812721E-17,3.8970871726262E-09,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_0.STL,1,1,1,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_0.STL,,P01H9-MP0-15-F3000_2-2,R_middle_cs_0,R_middle_ax_0,right_middle_joint_0,revolute,0.13528,0,0.0017501,3.1416,0,3.1416,right_palm_link,0,0,1,0,0,-0.35,0.35,,,,,,,,
right_middle_link_1,0.0194586697953215,-0.0089652904495495,-0.000103629595511856,0,0,0,0.0078186203560971,7.54005690810802E-07,-1.78804386113988E-07,-3.16796063838823E-08,1.81038006347822E-06,-3.54791904709937E-09,1.58839790889073E-06,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_1.STL,,10002_ASM_middel-1,R_middle_cs_1,R_middle_ax_1,right_middle_joint_1,revolute,0,0,0,-1.5708,0,3.1416,right_middle_link_0,0,0,1,0,0,0,1.57,,,,,,,,
right_middle_link_2,0.0137651544503949,-0.00728316628506753,-0.000338376809692148,0,0,0,0.00444702440314665,3.57403074693285E-07,-2.93575060166498E-08,-7.1760539456482E-09,5.90573291525459E-07,-1.8079114870554E-09,4.33465006058664E-07,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://dexh13_right_description/meshes/right_middle_link_2.STL,,20002_ASM_middle-1,R_middle_cs_2,R_middle_ax_2,right_middle_joint_2,revolute,0.039999,1.0076E-05,0,0,0,0,right_middle_link_1,0,0,1,0,0,0,1.57,,,,,,,,
