source,variant,condition,seed,steps,avg_reward,avg_done_rate,eval_mode,latent_mse,latent_l1,action_mse_to_teacher,residual_abs_mean,residual_l2_mean,residual_to_target_ratio,pred_residual_abs_mean,pred_to_target_ratio,action_correction_abs_mean,action_correction_l2_mean,base_action_mse_to_teacher,log_path
m1_baseline,padapt,hard,42,256,1.826708,0.001546,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_hard_s42.log
m1_baseline,padapt,hard,43,256,1.972757,0.001465,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_hard_s43.log
m1_baseline,padapt,hard,44,256,1.715209,0.001221,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_hard_s44.log
m1_baseline,padapt,light_v2,42,256,1.967401,0.001465,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_light_v2_s42.log
m1_baseline,padapt,light_v2,43,256,2.215234,0.001058,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_light_v2_s43.log
m1_baseline,padapt,light_v2,44,256,2.054586,0.001139,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_light_v2_s44.log
m1_baseline,padapt,nominal,42,256,1.918988,0.001383,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_nominal_s42.log
m1_baseline,padapt,nominal,43,256,2.230942,0.001383,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_nominal_s43.log
m1_baseline,padapt,nominal,44,256,2.353529,0.001139,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/padapt_nominal_s44.log
m1_baseline,purebc,hard,42,256,1.807907,0.001628,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_hard_s42.log
m1_baseline,purebc,hard,43,256,1.891061,0.001628,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_hard_s43.log
m1_baseline,purebc,hard,44,256,1.850326,0.000977,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_hard_s44.log
m1_baseline,purebc,light_v2,42,256,2.017482,0.001628,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_light_v2_s42.log
m1_baseline,purebc,light_v2,43,256,2.29975,0.001221,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_light_v2_s43.log
m1_baseline,purebc,light_v2,44,256,2.254291,0.001139,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_light_v2_s44.log
m1_baseline,purebc,nominal,42,256,1.267421,0.001546,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_nominal_s42.log
m1_baseline,purebc,nominal,43,256,2.134573,0.001302,,,,,,,,,,,,,outputs/robustness_eval/plansv2_m1/purebc_nominal_s43.log
