phase	status	time
preflight	running	2026-05-06T21:07:23+00:00
preflight	ok	2026-05-06T21:07:23+00:00
formal_training	running	2026-05-06T21:07:23+00:00
formal_training	done	2026-05-07T22:07:28+00:00
representation_train	running	2026-05-07T22:07:28+00:00
representation_train	done	2026-05-08T03:07:28+00:00
main_eval	running	2026-05-08T03:07:28+00:00
main_eval	done	2026-05-08T08:36:58+00:00
nfe_latency	running	2026-05-08T08:36:58+00:00
nfe_latency	done	2026-05-08T13:41:02+00:00
representation_eval	running	2026-05-08T13:41:02+00:00
representation_eval	done	2026-05-08T13:55:39+00:00
robustness	running	2026-05-08T13:55:39+00:00
robustness	done	2026-05-08T23:49:54+00:00
validation	running	2026-05-08T23:49:54+00:00
validation	done	2026-05-08T23:49:54+00:00
