method,algo,train_seed,eval_seed,seed,task,num_envs,mode,checkpoint,status,fixed_steps,fixed_step_reward,done_rate,episode_n,episode_return_mean,episode_return_std,episode_len_mean,episode_len_std,screw_progress_rad_mean,screw_progress_rad_p25,screw_progress_rad_p50,screw_progress_rad_p75,success_2pi_rate,policy_ms_mean,policy_ms_p50,policy_ms_p95,cuda_peak_mem_mib,json_path
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,1,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5085382461547852,0.5024104118347168,0.5458769202232361,13.1962890625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_consistency_latent_train42_batch1.json
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,256,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5653764009475708,0.5562010407447815,0.6261267066001892,21.17431640625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_consistency_latent_train42_batch256.json
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,48,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.538927435874939,0.5346035361289978,0.5686583518981934,14.658203125,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_consistency_latent_train42_batch48.json
diffusion_action_chunk,DiffusionActionChunkStudent,42,42,42,Dexh13HoraLightbulb,1,latency,/root/code/dexscrew-repro/outputs/Dexh13HoraLightbulb_student_diffusion_action_chunk_codrive_thesis/codrive_thesis_teacher3655_s42_3h_final_20260504/stage2_diffusion_action_chunk_nn/model_best_train.ckpt,ok,,,,,,,,,,,,,,0.39998382329940796,0.38957852125167847,0.4660731554031372,17.1064453125,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_action_chunk_train42_batch1.json
diffusion_action_chunk,DiffusionActionChunkStudent,42,42,42,Dexh13HoraLightbulb,256,latency,/root/code/dexscrew-repro/outputs/Dexh13HoraLightbulb_student_diffusion_action_chunk_codrive_thesis/codrive_thesis_teacher3655_s42_3h_final_20260504/stage2_diffusion_action_chunk_nn/model_best_train.ckpt,ok,,,,,,,,,,,,,,0.4175795316696167,0.41569146513938904,0.4423733949661255,35.265625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_action_chunk_train42_batch256.json
diffusion_action_chunk,DiffusionActionChunkStudent,42,42,42,Dexh13HoraLightbulb,48,latency,/root/code/dexscrew-repro/outputs/Dexh13HoraLightbulb_student_diffusion_action_chunk_codrive_thesis/codrive_thesis_teacher3655_s42_3h_final_20260504/stage2_diffusion_action_chunk_nn/model_best_train.ckpt,ok,,,,,,,,,,,,,,0.41595008969306946,0.4127334654331207,0.44410479068756104,20.44384765625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_action_chunk_train42_batch48.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,1,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5417143106460571,0.5370564460754395,0.5792953968048096,13.201171875,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_latent_train42_batch1.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,256,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5724896192550659,0.5697084665298462,0.6065661907196045,21.18017578125,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_latent_train42_batch256.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,48,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5857412815093994,0.5779404640197754,0.6376588940620422,14.6630859375,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_diffusion_latent_train42_batch48.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,1,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.527848482131958,0.5200560092926025,0.5680282711982727,13.1962890625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_flow_matching_train42_batch1.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,256,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.6362797617912292,0.6435484886169434,0.6910294890403748,21.17431640625,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_flow_matching_train42_batch256.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,48,latency,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,,,,,,,,,,,,,,0.5529061555862427,0.5483709573745728,0.5834071040153503,14.658203125,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/latency_nfe1_flow_matching_train42_batch48.json
