method,algo,train_seed,eval_seed,seed,task,num_envs,mode,checkpoint,status,fixed_steps,fixed_step_reward,done_rate,episode_n,episode_return_mean,episode_return_std,episode_len_mean,episode_len_std,screw_progress_rad_mean,screw_progress_rad_p25,screw_progress_rad_p50,screw_progress_rad_p75,success_2pi_rate,policy_ms_mean,policy_ms_p50,policy_ms_p95,cuda_peak_mem_mib,json_path
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.792627289923985,0.0010681152416509576,256,3239.1865234375,1382.6124267578125,672.75,216.14584350585938,2.3931541442871094,0.2582928538322449,2.2771058082580566,4.477124214172363,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_consistency_latent_train42_eval42.json
consistency_latent,ConsistencyLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.902931387114222,0.0010986328406943358,256,3272.7529296875,1476.4078369140625,658.08203125,235.86109924316406,2.3133459091186523,0.4182906448841095,2.382598876953125,4.375762939453125,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_consistency_latent_train42_eval43.json
consistency_latent,ConsistencyLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.822838864514779,0.001108805356125231,256,3234.305419921875,1439.3594970703125,667.32421875,210.2317352294922,2.2610771656036377,0.31846755743026733,2.2949776649475098,4.319568157196045,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_consistency_latent_train42_eval44.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,3.9867970397608588,0.0011698405078277574,264,2513.630859375,1532.5653076171875,612.10986328125,247.0850372314453,1.5636541843414307,-0.008871596306562424,1.2503950595855713,3.5876474380493164,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_diffusion_latent_train42_eval42.json
diffusion_latent,DiffusionLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.32627309223426,0.0013020833521295572,265,2481.830078125,1565.2960205078125,608.3773803710938,263.0496826171875,1.7942640781402588,-1.413559118645935e-07,1.6778204441070557,3.9484119415283203,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_diffusion_latent_train42_eval43.json
diffusion_latent,DiffusionLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.240985329512114,0.0012613932567546726,261,2663.398681640625,1304.6494140625,610.3026733398438,265.7411804199219,1.6492953300476074,-0.008882175199687481,1.5001624822616577,3.8377397060394287,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_diffusion_latent_train42_eval44.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,4.821421953871322,0.0011698405278366408,256,3215.91552734375,1457.60498046875,656.50390625,236.35791015625,2.1581406593322754,0.2564903497695923,1.8726420402526855,3.949690103530884,0.00390625,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_flow_matching_train42_eval42.json
flow_matching,FlowMatchingLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.032857951635378,0.0010986328506987775,256,3306.780517578125,1465.46826171875,664.703125,222.40237426757812,2.124101400375366,0.23815840482711792,2.1024868488311768,3.8567817211151123,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_flow_matching_train42_eval43.json
flow_matching,FlowMatchingLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.05133459395438,0.0010681152507459046,256,3303.7197265625,1288.3114013671875,659.984375,226.9103240966797,2.15317440032959,0.0657084658741951,2.062802314758301,4.414180755615234,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_flow_matching_train42_eval44.json
padapt,ProprioAdapt,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.554091142523248,0.001098632839784841,256,3056.77197265625,1312.845703125,665.3671875,223.45350646972656,2.139967679977417,0.04121020436286926,2.236222743988037,4.372368812561035,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_padapt_train42_eval42.json
padapt,ProprioAdapt,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.6637438144825865,0.0010579427453194512,256,3111.963134765625,1377.9818115234375,660.80078125,229.4725799560547,2.3712551593780518,0.5129943490028381,2.273974895477295,4.416194915771484,0.00390625,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_padapt_train42_eval43.json
padapt,ProprioAdapt,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.705348412846433,0.0010884603143495042,256,2993.164306640625,1309.5623779296875,644.95703125,230.95814514160156,1.815788745880127,-0.008813031017780304,1.7288473844528198,3.9833288192749023,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_padapt_train42_eval44.json
purebc,PureBC,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.365567500353791,0.0011393229287932627,256,2822.54150390625,1569.240234375,648.61328125,236.53033447265625,2.068692207336426,0.3891739249229431,1.92908775806427,3.7999069690704346,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_purebc_train42_eval42.json
purebc,PureBC,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.269173805572791,0.0011800130732808611,260,2639.870849609375,1697.03955078125,614.34228515625,256.97821044921875,2.1065196990966797,0.018441002815961838,2.101304531097412,4.274367809295654,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_purebc_train42_eval43.json
purebc,PureBC,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.3597857407976335,0.0011596680014918093,256,2904.31494140625,1453.252685546875,648.5078125,230.43756103515625,2.127898931503296,0.0015893576201051474,1.9802749156951904,4.4936347007751465,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_purebc_train42_eval44.json
teacher_ppo,PPO,teacher3655,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.201863018253789,0.0010986328588842298,256,3500.598388671875,1347.673095703125,678.26953125,207.2373809814453,2.1296746730804443,0.2482166886329651,2.369734525680542,4.096915245056152,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_teacher_ppo_trainteacher3655_eval42.json
teacher_ppo,PPO,teacher3655,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.302795904642608,0.0010884603307204088,256,3497.845703125,1428.4742431640625,661.72265625,221.1221923828125,2.101361036300659,0.040661219507455826,2.0550687313079834,4.084196090698242,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_teacher_ppo_trainteacher3655_eval43.json
teacher_ppo,PPO,teacher3655,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.292482290424232,0.0010477702071511885,256,3458.458740234375,1387.1038818359375,661.609375,228.85623168945312,2.2069509029388428,0.5573065280914307,2.2387752532958984,4.162887096405029,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_friction_wide_teacher_ppo_trainteacher3655_eval44.json
