method,algo,train_seed,eval_seed,seed,task,num_envs,mode,checkpoint,status,fixed_steps,fixed_step_reward,done_rate,episode_n,episode_return_mean,episode_return_std,episode_len_mean,episode_len_std,screw_progress_rad_mean,screw_progress_rad_p25,screw_progress_rad_p50,screw_progress_rad_p75,success_2pi_rate,policy_ms_mean,policy_ms_p50,policy_ms_p95,cuda_peak_mem_mib,json_path
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.054748849004682,0.0010477702062416938,256,3273.291259765625,1347.413818359375,655.79296875,233.66827392578125,2.044304847717285,0.06726041436195374,2.044154644012451,4.402548313140869,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_consistency_latent_train42_eval42.json
consistency_latent,ConsistencyLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.036762795340735,0.0011901855777978199,256,3358.7685546875,1331.3236083984375,668.79296875,223.5312957763672,2.180635452270508,0.179807648062706,2.332315444946289,4.2857561111450195,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_consistency_latent_train42_eval43.json
consistency_latent,ConsistencyLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.114352058015356,0.0011291504188193358,256,3422.030517578125,1202.70068359375,675.98046875,209.69717407226562,2.0693509578704834,0.03254067897796631,2.122793436050415,4.303646087646484,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_consistency_latent_train42_eval44.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,3.9499291967740646,0.0011800130741903558,256,2439.81689453125,1241.4005126953125,623.41796875,249.39517211914062,1.7111517190933228,-9.173437547360663e-07,1.3640210628509521,3.5176877975463867,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_diffusion_latent_train42_eval42.json
diffusion_latent,DiffusionLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.039543915298054,0.0012817383185392828,256,2474.824951171875,1166.016357421875,627.3203125,242.89344787597656,1.6859453916549683,-0.008791327476501465,1.4191761016845703,3.4000978469848633,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_diffusion_latent_train42_eval43.json
diffusion_latent,DiffusionLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.1058360670358525,0.0011800130714618717,262,2516.557861328125,1200.401123046875,615.0572509765625,246.62197875976562,1.7288516759872437,-0.008793631568551064,1.4736707210540771,3.6658380031585693,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_diffusion_latent_train42_eval44.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,4.857493732401053,0.0011189779042979353,256,3245.6083984375,1273.9931640625,655.53515625,232.66912841796875,1.8722219467163086,-0.008833181113004684,2.0230655670166016,4.0668110847473145,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_flow_matching_train42_eval42.json
flow_matching,FlowMatchingLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,4.810489428642541,0.0011189778942934936,256,3184.943115234375,1415.1180419921875,650.890625,236.76165771484375,1.915950894355774,0.004740594886243343,1.9933288097381592,3.871654510498047,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_flow_matching_train42_eval43.json
flow_matching,FlowMatchingLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,4.997547453064421,0.0010375976708019152,256,3386.173583984375,1134.913818359375,677.921875,207.6946258544922,2.270663261413574,0.0964285135269165,2.3363020420074463,4.401698112487793,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_flow_matching_train42_eval44.json
padapt,ProprioAdapt,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.687033078078457,0.001057942724401073,256,3120.066650390625,1208.148681640625,670.41015625,221.5323486328125,2.152285099029541,0.053785014897584915,2.249332904815674,4.586618423461914,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_initpos_noise_padapt_train42_eval42.json
