method,algo,train_seed,eval_seed,seed,task,num_envs,mode,checkpoint,status,fixed_steps,fixed_step_reward,done_rate,episode_n,episode_return_mean,episode_return_std,episode_len_mean,episode_len_std,screw_progress_rad_mean,screw_progress_rad_p25,screw_progress_rad_p50,screw_progress_rad_p75,success_2pi_rate,policy_ms_mean,policy_ms_p50,policy_ms_p95,cuda_peak_mem_mib,json_path
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.850234097317298,0.0010884603125305148,256,3351.959716796875,1286.0672607421875,682.71484375,206.3528289794922,2.2925963401794434,0.5246210098266602,2.316056251525879,4.158807754516602,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_consistency_latent_train42_eval42.json
consistency_latent,ConsistencyLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.904066819023228,0.0011189779006599565,258,3156.692138671875,1450.2540283203125,643.9185791015625,233.39901733398438,2.1202940940856934,0.010637934319674969,2.1086671352386475,4.483868598937988,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_consistency_latent_train42_eval43.json
consistency_latent,ConsistencyLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,4.9952926888581715,0.0011189778933839989,256,3362.434326171875,1267.217041015625,677.7109375,208.8836669921875,2.271644115447998,0.42515602707862854,2.264998197555542,4.229453086853027,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_consistency_latent_train42_eval44.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.206019385412219,0.0011494954824229353,256,2752.87109375,1188.3070068359375,654.46484375,236.85296630859375,1.7534146308898926,-9.979803650139729e-09,1.548287272453308,3.698716878890991,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_diffusion_latent_train42_eval42.json
diffusion_latent,DiffusionLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.382801235644365,0.0011596680196817033,256,2684.913330078125,1266.6932373046875,631.125,243.18984985351562,1.9533584117889404,-9.223712140737916e-07,1.567763328552246,4.092947483062744,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_diffusion_latent_train42_eval43.json
diffusion_latent,DiffusionLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.352581406372337,0.0011596680105867563,256,2746.8818359375,1225.2978515625,631.51953125,245.7339630126953,1.504894733428955,-0.002204304561018944,1.3445324897766113,3.1492276191711426,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_diffusion_latent_train42_eval44.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,4.998399649994099,0.0010884603043450625,256,3391.1708984375,1234.1572265625,676.515625,215.39797973632812,2.276284694671631,0.40128612518310547,2.28256893157959,4.098324298858643,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_flow_matching_train42_eval42.json
flow_matching,FlowMatchingLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.0049820706408354,0.0010884603043450625,256,3168.6181640625,1402.873779296875,643.6640625,233.47169494628906,1.8808720111846924,0.018233388662338257,1.5210683345794678,3.6373648643493652,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_flow_matching_train42_eval43.json
flow_matching,FlowMatchingLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.062558409961639,0.001068115279849735,256,3482.4072265625,1200.6800537109375,680.3359375,212.22752380371094,2.265331983566284,0.28180474042892456,2.266740083694458,4.408971786499023,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_flow_matching_train42_eval44.json
padapt,ProprioAdapt,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.602589740892654,0.0010986328225044417,256,3066.6318359375,1343.261962890625,653.72265625,237.11093139648438,2.2285850048065186,0.10199129581451416,2.2080698013305664,4.182277679443359,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_masscom_wide_padapt_train42_eval42.json
