method,algo,train_seed,eval_seed,seed,task,num_envs,mode,checkpoint,status,fixed_steps,fixed_step_reward,done_rate,episode_n,episode_return_mean,episode_return_std,episode_len_mean,episode_len_std,screw_progress_rad_mean,screw_progress_rad_p25,screw_progress_rad_p50,screw_progress_rad_p75,success_2pi_rate,policy_ms_mean,policy_ms_p50,policy_ms_p95,cuda_peak_mem_mib,json_path
consistency_latent,ConsistencyLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.148412165799527,0.0010681152698452934,256,3514.38232421875,1335.4393310546875,678.6796875,212.7206573486328,2.319406032562256,0.36477500200271606,2.3579273223876953,4.429644584655762,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_consistency_latent_train42_eval42.json
consistency_latent,ConsistencyLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.169993645921437,0.0010579427234915784,256,3408.860595703125,1436.210205078125,661.73828125,232.11337280273438,2.312786340713501,0.4825288653373718,2.2612552642822266,4.223999977111816,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_consistency_latent_train42_eval43.json
consistency_latent,ConsistencyLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/consistency_latent_s42/stage2_consistency_nn/model_best_deploy.ckpt,ok,2048,5.252382350867265,0.001047770187142305,285,3697.877197265625,1209.1075439453125,709.3789672851562,187.38604736328125,2.545003652572632,0.8973086476325989,2.60935640335083,4.59322452545166,0.0035087719298245615,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_consistency_latent_train42_eval44.json
diffusion_latent,DiffusionLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.439576101784951,0.0012003581150565878,256,2949.79248046875,1215.849365234375,650.50390625,235.7638702392578,1.9056446552276611,0.007490797899663448,1.8775299787521362,3.903087615966797,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_diffusion_latent_train42_eval42.json
diffusion_latent,DiffusionLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.504067961485816,0.0011596679814829258,258,2839.28173828125,1345.329345703125,625.7597045898438,248.0542449951172,1.5332895517349243,-0.008856216445565224,1.2551426887512207,3.584639072418213,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_diffusion_latent_train42_eval43.json
diffusion_latent,DiffusionLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/diffusion_latent_s42/stage2_diffusion_nn/model_best_deploy.ckpt,ok,2048,4.595093345051282,0.001139322936978715,256,2926.9541015625,1261.6259765625,636.50390625,241.87075805664062,1.5218394994735718,-0.008838302455842495,1.1935752630233765,3.412045478820801,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_diffusion_latent_train42_eval44.json
flow_matching,FlowMatchingLatentStudent,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.199167492486595,0.0010782877880046726,256,3624.2412109375,1145.546875,689.046875,201.20257568359375,2.3388562202453613,0.5303894281387329,2.452608585357666,4.414046764373779,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_flow_matching_train42_eval42.json
flow_matching,FlowMatchingLatentStudent,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.204501955144224,0.00105794273349602,256,3520.80810546875,1306.74365234375,669.859375,222.04983520507812,2.308659076690674,0.07668930292129517,2.5933995246887207,4.543646812438965,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_flow_matching_train42_eval43.json
flow_matching,FlowMatchingLatentStudent,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/flow_matching_s42/stage2_flow_nn/model_best_deploy.ckpt,ok,2048,5.36874801918384,0.0010274251426380943,256,3610.534912109375,1200.1124267578125,692.03515625,195.43246459960938,2.297826051712036,0.8324151635169983,2.391400098800659,4.127360820770264,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_flow_matching_train42_eval44.json
padapt,ProprioAdapt,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.561607266378587,0.0010579427143966313,256,3358.109619140625,1377.353271484375,683.17578125,211.4517822265625,2.2678823471069336,0.3411266803741455,2.163484573364258,4.482419490814209,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_padapt_train42_eval42.json
padapt,ProprioAdapt,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,4.894181150462828,0.001098632848879788,256,3168.228271484375,2294.745361328125,664.3984375,233.24476623535156,2.255720376968384,0.4920523166656494,2.253429412841797,4.160341739654541,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_padapt_train42_eval43.json
padapt,ProprioAdapt,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/padapt_s42/stage2_nn/model_best_deploy.ckpt,ok,2048,5.020409263532201,0.0010884603034355678,256,3315.596923828125,1448.4329833984375,677.75390625,211.50563049316406,2.093571662902832,0.1943138986825943,2.1591129302978516,4.2202253341674805,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_padapt_train42_eval44.json
purebc,PureBC,42,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.53605183624677,0.0011698405269271461,256,3116.8251953125,1467.2017822265625,658.2421875,227.81369018554688,2.1267223358154297,0.05910073220729828,2.203826427459717,4.237573623657227,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_purebc_train42_eval42.json
purebc,PureBC,42,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.571215917116206,0.0011901855596079258,256,3020.51220703125,1661.0665283203125,655.3671875,233.51004028320312,2.198979616165161,0.12104679644107819,2.2174997329711914,4.464932441711426,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_purebc_train42_eval43.json
purebc,PureBC,42,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/outputs/paper_codrive_thesis_full_20260506_210723/train_outputs/purebc_s42/stage2_bc_nn/model_best_deploy.ckpt,ok,2048,4.723942361609602,0.0010884602943406207,256,3111.181640625,1515.4140625,660.7890625,228.84596252441406,2.191073179244995,0.24685688316822052,2.0920302867889404,4.489874362945557,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_purebc_train42_eval44.json
teacher_ppo,PPO,teacher3655,42,42,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.4640439007653185,0.0010579427325865254,256,3667.961181640625,1332.9976806640625,676.37890625,212.63819885253906,2.3407061100006104,0.7626321911811829,2.441800355911255,4.513854026794434,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_teacher_ppo_trainteacher3655_eval42.json
teacher_ppo,PPO,teacher3655,43,43,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.480483525854652,0.0010477701880517998,256,3660.397705078125,1383.8314208984375,669.73046875,217.24635314941406,2.2752859592437744,0.1484920233488083,2.2386629581451416,4.372514724731445,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_teacher_ppo_trainteacher3655_eval43.json
teacher_ppo,PPO,teacher3655,44,44,Dexh13HoraLightbulb,48,eval,/root/code/dexscrew-repro/sim2real/codrive_thesis/best_reward_3655.17.pth,ok,2048,5.49166802300897,0.001027425152642536,287,3964.119873046875,1053.28759765625,713.5226440429688,182.8126220703125,2.449031114578247,1.013382077217102,2.3672919273376465,4.206702709197998,0.0,,,,,outputs/paper_codrive_thesis_full_20260506_210723/raw_json/robust_nominal_teacher_ppo_trainteacher3655_eval44.json
